country,Primary education,Lower secondary education,Upper secondary education,Primary education,Lower secondary education,Upper secondary education,Numeracy_Total,Numeracy_Male,Numeracy_Female,Reading_Total,Reading_Male,Reading_Female,Learning_Poverty_Total,Learning_Poverty_Male,Learning_Poverty_Female
Sri Lanka,1,4,14,99,98,46,-,-,-,-,-,-,15,-,-
State of Palestine,9,6,25,99,92,62,47,47,46,53,48,57,-,-,-
Sudan,34,30,49,65,51,31,-,-,-,-,-,-,-,-,-
Suriname,49,21,40,86,50,23,25,24,26,47,47,47,-,-,-
Sweden,1,0,3,99,99,81,-,-,-,-,-,-,5,6,4
Switzerland,0,0,8,99,99,93,-,-,-,-,-,-,-,-,-
Syrian Arab Republic,24,52,73,96,46,28,-,-,-,-,-,-,-,-,-
Tajikistan,4,5,39,99,94,72,-,-,-,-,-,-,-,-,-
Thailand,2,5,22,99,90,71,65,64,66,71,68,75,23,26,21
Timor-Leste,5,13,26,81,66,52,-,-,-,-,-,-,-,-,-
Togo,1,25,54,80,47,21,9,9,9,18,17,18,82,82,81
Tokelau,18,39,80,-,-,-,-,-,-,-,-,-,-,-,-
Tonga,1,1,33,98,92,84,52,51,54,62,60,65,-,-,-
Trinidad and Tobago,34,33,3,99,95,80,66,62,69,80,77,83,21,25,17
Tunisia,2,-,-,93,76,36,28,30,26,66,64,68,66,70,61
Türkiye,0,0,6,98,93,64,-,-,-,-,-,-,19,20,17
Turkmenistan,-,1,17,99,99,16,70,68,72,82,82,82,-,-,-
Turks and Caicos Islands,5,10,6,99,99,98,63,64,61,78,74,84,-,-,-
Tuvalu,1,13,47,100,85,55,39,33,46,55,55,54,-,-,-
Uganda,12,49,75,27,23,16,-,-,-,-,-,-,82,-,-
Ukraine,16,11,22,100,99,95,-,-,-,-,-,-,28,29,26
United Arab Emirates,0,0,0,-,-,-,-,-,-,-,-,-,26,31,21
United Kingdom,0,1,5,100,100,84,-,-,-,-,-,-,3,4,3
United Republic of Tanzania,16,51,85,74,28,9,-,-,-,-,-,-,-,-,-
United States,4,1,5,100,99,95,-,-,-,-,-,-,10,10,9
Uruguay,0,1,9,99,83,49,-,-,-,-,-,-,44,46,37
Uzbekistan,1,1,22,100,99,95,-,-,-,-,-,-,32,-,-
Vanuatu,9,24,16,81,38,7,38,36,40,47,47,47,-,-,-
Venezuela (Bolivarian Republic of),1,2,23,94,80,70,-,-,-,-,-,-,-,-,-
Viet Nam,0,1,5,98,87,58,74,75,73,83,84,83,18,20,16
Yemen,24,34,60,68,53,37,-,-,-,-,-,-,95,95,94
Zambia,14,-,-,72,51,28,-,-,-,-,-,-,99,-,-
Zimbabwe,6,8,48,89,54,14,25,23,27,44,41,48,-,-,-
